"Annual mean PM10 (Particulate matter with diameter of 10 ?m or less), by country",,,,,,,,,,,,,,,,,,,
Region,Country,Annual mean PM10,Year,Number and location,Temporal coverage,Reference,Urban population coverage,Reported or calculated mean,"Distribution of urban population into pollution levels (in %)
(based on city means)
ug/m3",,,,,,,,,,
,,ug/m3,, of stations,(%),,(%),,<20,20-30,30-50,50-70,70-90,90-110,110-130,130-170,170-210,Total,
AmrLMI,Mexico,55,2009,NA,NA,Compendio de Estadisticas Ambientales 2010 - Promedio annual de concentrationes horarias de contaminatnes atmosfericos. http://aplicaciones.semarnat.gob.mx/estadisticas/compendio2010/10.100.13.5_8080/ibi_apps/WFServletd9fc.html (accessed 4 May 2011.,46%,Calculated,0%,0%,21%,66%,10%,0.3%,0%,2%,0%,100%,
EurHI,Israel,59,2009,"1 urban traffic, 3 residential and 1 commercial urban stations",NA,"Central Bureau of Statistics. Statistical Abstracts of Israel, 2010.",64%,Calculated,0%,0%,6%,94%,0%,0%,0%,0%,0%,100%,
EurHI,Bulgaria,60,2008,"3 urban background, 5 suburban background, 2 urban traffic, and 1 traffic suburban stations",93,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",40%,Calculated,0%,0%,31%,69%,0%,0%,0%,0%,0%,100%,
WprHI,Republic of Korea,61,2007,"More than 100 monitoring stations throughout the country, generally urban background locations; further information on location of monitoring station: http://www.airkorea.or.kr/airkorea/eng/information/main.jsp?action=station",NA,Minsitry of Environment. 2008 Environmental Statistics Yearbook. 2008.,67%,Calculated,0%,0%,6%,94%,0%,0%,0%,0%,0%,100%,
AmrLMI,Chile,62,2007-2008,NA,NA,Sistema Nacional de Informacion Ambiental (SINIA).Informe - Relacion de la norma de calidad primaria MP2.5 con la nirma de calidad primaria de MP10. (accessed 3 May 2011).,62%,Calculated,0%,0%,27%,71%,3%,0%,0%,0%,0%,100%,
Afr,United Republic of Tanzania,64,2005-2006,2 roadside stations,"4 months per year, in wet season and dry season","Mkoma SL, Chi X, Maenhaut W. Characteristics of carbonaceous aerosols in ambient PM10 and PM2.5 particles in Dar es Salaam, Tanzania. Sci. Total Environ. 2010;408(6):1308-1314.  ",29%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurLMI,Turkey,66,2008,"21 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",86,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",29%,Calculated,0%,0%,0%,81%,6%,11%,0%,2%,0%,100%,
Afr,Madagascar,68,2003,5 stations in various neighbourhoods of capital city,3 months/year,"Ministère de l'environnement et des Forêts. Rapport sur l'Etat de l'Environnement de Madagascar, 2007. Madagascar, 2007. ",30%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurLMI,The former Yugoslav Republic of Macedonia,70,2008,7 urban traffic stations,81,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",100%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrLMI,Colombia,71,2005-2007,NA,NA,"Secretaria Distrital Ambiente - Informe Annual de Qualidad del Aire Bogota; Redaire - Red de Vigilancia de la calidad del aire, Medellin; Departamento Administrativo de Gestion de Medio Ambiente - Informe Calidad del Aire, Calli ",34%,Calculated,0%,0%,0%,38%,62%,0%,0%,0%,0%,100%,
AmrLMI,Peru,74,2010,4 stations,NA,Programa Nacional de Vigilancia Sanitaria de Calidad del Aire. http://www.digesa.sld.pe/DEPA/pral2/index.asp (accessed 3 May 2011).,41%,Calculated,0%,0%,9%,0%,91%,0%,0%,0%,0%,100%,
Sear,Sri Lanka,77,2008,1 station in city centre,NA,"Ambient air quality report, Central Environment Agency (secondary source)",22%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EmrLMI,Tunisia,80,2006,5 stations in 5 cities,NA,"Rapport annuel sur la qualité de l'air en Tunisie 2006, Agence National de la Protection de l'environnement.",74%,Calculated,0%,0%,6%,13%,82%,0%,0%,0%,0%,100%,
AmrLMI,Bolivia (Plurinational State of),82,2007,3 residential/low traffic stations in 2 cities,NA,Reference,39%,Calculated,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,
Sear,Myanmar,94,2007,2 commercial and 2 residential stations in 2 cities,Limited to 2 point measurements,"National Commission for Environmental Affairs (NCEA), with Yangon City Development Committee (YCDC) and Department of Medical Research (DMR)",34%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Afr,Ghana,98,2008,4 residential and 1 roadside station in Accra,NA,"Dionisio KL, Arku RE, Hughes AF, et al. Air pollution in Accra neighborhoods: spatial, socioeconomic, and temporal patterns. Environ. Sci. Technol. 2010;44(7):2270-2276.  ",18%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WprLMI,China,98,2009,NA,NA,"China Statistical Yearbook 2010. Nattional Bureau of Statistics, 2010. ",24%,Calculated,0%,0%,1%,5%,28%,36%,25%,3%,2%,100%,
Sear,Nepal,106,2005,"1 urban roadside, 1 urban background, 1 urban residential and 1 suburban station",NA,"Ministry of Environment, Science and Technology, Singh Durbar, Kathmandu, Ambient Air Quality of Kathmandu Valley, 2007",19%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sear,India,109,2008,Mean in residential areas measured in 25 States,NA,"Central Pollution Control Board, Ministry of Environment & Forests. National ambient air quality status 2008. 2009.",91% by state (37% by metropolitan city),Calculated,0%,0%,4%,11%,22%,24%,19%,2%,18%,100%,
EurLMI,Bosnia and Herzegovina,117," 2,008 ",1 urban background station,88,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",21%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sear,Bangladesh,120,2007,2 stations in 2 cities,NA,"Clean Air Inititive Asia, CitiesACT database, 2010. www.citiesact.org (accessed 2 February 2011)",41%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
